State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Madhya Pradesh,DAMOH,Gram,2019-20,Rabi,115309.0,Hectare,169274.0,Tonnes,1.4680033648717794
Madhya Pradesh,VIDISHA,Gram,2019-20,Rabi,115759.0,Hectare,179426.0,Tonnes,1.5499961126132742
Madhya Pradesh,ASHOKNAGAR,Maize,2019-20,Kharif,1553.0,Hectare,3508.0,Tonnes,2.258853831294269
Madhya Pradesh,DAMOH,Maize,2019-20,Kharif,630.0,Hectare,1645.0,Tonnes,2.611111111111111
Madhya Pradesh,JABALPUR,Maize,2019-20,Kharif,12170.0,Hectare,23963.0,Tonnes,1.9690221857025472
Madhya Pradesh,KHARGONE,Maize,2019-20,Summer,7250.0,Hectare,58000.0,Tonnes,8.0
Madhya Pradesh,VIDISHA,Maize,2019-20,Kharif,1471.0,Hectare,2202.0,Tonnes,1.4969408565601632
Madhya Pradesh,VIDISHA,Maize,2019-20,Summer,200.0,Hectare,340.0,Tonnes,1.7
Madhya Pradesh,ASHOKNAGAR,Rice,2019-20,Kharif,8298.0,Hectare,23857.33,Tonnes,2.875069896360569
Madhya Pradesh,BETUL,Rice,2019-20,Kharif,24178.0,Hectare,43842.66,Tonnes,1.8133286458764166
Madhya Pradesh,DAMOH,Rice,2019-20,Kharif,77713.0,Hectare,103630.0,Tonnes,1.3334963262259854
Madhya Pradesh,VIDISHA,Rice,2019-20,Summer,5.0,Hectare,,Tonnes,0.0
Madhya Pradesh,ASHOKNAGAR,Wheat,2019-20,Rabi,211876.0,Hectare,812544.0,Tonnes,3.8349978289188016
Madhya Pradesh,BETUL,Wheat,2019-20,Rabi,264808.0,Hectare,693267.0,Tonnes,2.617998700945591
Madhya Pradesh,JABALPUR,Wheat,2019-20,Rabi,219428.0,Hectare,947929.0,Tonnes,4.320000182292142
Madhya Pradesh,VIDISHA,Wheat,2019-20,Rabi,383599.0,Hectare,1120493.0,Tonnes,2.921000836811358
Punjab,LUDHIANA,Arhar/Tur,2019-20,Kharif,600.0,Hectare,600.0,Tonnes,1.0
Punjab,FAZILKA,Gram,2019-20,Rabi,1100.0,Hectare,1300.0,Tonnes,1.1818181818181819
Punjab,PATHANKOT,Maize,2019-20,Kharif,8600.0,Hectare,25800.0,Tonnes,3.0
Punjab,FAZILKA,Rice,2019-20,Kharif,191000.0,Hectare,775000.0,Tonnes,4.057591623036649
Punjab,LUDHIANA,Rice,2019-20,Kharif,259000.0,Hectare,1211000.0,Tonnes,4.675675675675675
Punjab,PATHANKOT,Rice,2019-20,Kharif,28000.0,Hectare,86000.0,Tonnes,3.0714285714285716
Punjab,PATIALA,Rice,2019-20,Kharif,235000.0,Hectare,928000.0,Tonnes,3.948936170212766
Punjab,FAZILKA,Wheat,2019-20,Rabi,206000.0,Hectare,1016000.0,Tonnes,4.932038834951456
Punjab,LUDHIANA,Wheat,2019-20,Rabi,250000.0,Hectare,1275000.0,Tonnes,5.1
Punjab,PATIALA,Wheat,2019-20,Rabi,234000.0,Hectare,1116000.0,Tonnes,4.769230769230769
Tamil Nadu,COIMBATORE,Arhar/Tur,2019-20,Kharif,111.0,Hectare,142.0,Tonnes,1.2792792792792793
Tamil Nadu,MADURAI,Arhar/Tur,2019-20,Rabi,463.0,Hectare,384.0,Tonnes,0.8293736501079914
Tamil Nadu,SALEM,Arhar/Tur,2019-20,Rabi,22.0,Hectare,50.0,Tonnes,2.272727272727273
Tamil Nadu,THENI,Arhar/Tur,2019-20,Kharif,533.0,Hectare,752.0,Tonnes,1.4108818011257036
Tamil Nadu,TIRUPPUR,Arhar/Tur,2019-20,Kharif,38.0,Hectare,49.0,Tonnes,1.2894736842105263
Tamil Nadu,TIRUPPUR,Arhar/Tur,2019-20,Rabi,29.0,Hectare,37.0,Tonnes,1.2758620689655173
Tamil Nadu,VELLORE,Arhar/Tur,2019-20,Rabi,73.0,Hectare,61.0,Tonnes,0.8356164383561644
Tamil Nadu,VIRUDHUNAGAR,Arhar/Tur,2019-20,Kharif,257.0,Hectare,329.0,Tonnes,1.2801556420233462
Tamil Nadu,COIMBATORE,Bajra,2019-20,Kharif,59.0,Hectare,165.0,Tonnes,2.7966101694915255
Tamil Nadu,MADURAI,Bajra,2019-20,Kharif,403.0,Hectare,1486.0,Tonnes,3.6873449131513647
Tamil Nadu,MADURAI,Bajra,2019-20,Rabi,643.0,Hectare,2062.0,Tonnes,3.2068429237947123
Tamil Nadu,SALEM,Bajra,2019-20,Rabi,9.0,Hectare,24.0,Tonnes,2.6666666666666665
Tamil Nadu,THENI,Bajra,2019-20,Kharif,185.0,Hectare,514.0,Tonnes,2.7783783783783784
Tamil Nadu,TIRUPPUR,Bajra,2019-20,Rabi,26.0,Hectare,69.0,Tonnes,2.6538461538461537
Tamil Nadu,VELLORE,Bajra,2019-20,Kharif,1241.0,Hectare,3853.0,Tonnes,3.104754230459307
Tamil Nadu,VELLORE,Bajra,2019-20,Rabi,59.0,Hectare,151.0,Tonnes,2.559322033898305
Tamil Nadu,VIRUDHUNAGAR,Bajra,2019-20,Rabi,1250.0,Hectare,4500.0,Tonnes,3.6
Tamil Nadu,MADURAI,Gram,2019-20,Rabi,18.0,Hectare,17.0,Tonnes,0.9444444444444444
Tamil Nadu,TIRUPPUR,Gram,2019-20,Rabi,2086.0,Hectare,1932.0,Tonnes,0.9261744966442953
Tamil Nadu,VIRUDHUNAGAR,Gram,2019-20,Rabi,3.0,Hectare,,Tonnes,0.0
Tamil Nadu,COIMBATORE,Maize,2019-20,Kharif,714.0,Hectare,6383.0,Tonnes,8.939775910364146
Tamil Nadu,COIMBATORE,Maize,2019-20,Rabi,2508.0,Hectare,16847.0,Tonnes,6.717304625199362
Tamil Nadu,MADURAI,Maize,2019-20,Kharif,4622.0,Hectare,27812.0,Tonnes,6.017308524448291
Tamil Nadu,MADURAI,Maize,2019-20,Rabi,10409.0,Hectare,69923.0,Tonnes,6.717552118359112
Tamil Nadu,NAGAPATTINAM,Maize,2019-20,Kharif,24.0,Hectare,218.0,Tonnes,9.083333333333334
Tamil Nadu,NAGAPATTINAM,Maize,2019-20,Rabi,13.0,Hectare,89.0,Tonnes,6.846153846153846
Tamil Nadu,THENI,Maize,2019-20,Rabi,5042.0,Hectare,33865.0,Tonnes,6.71658072193574
Tamil Nadu,TIRUPPUR,Maize,2019-20,Kharif,582.0,Hectare,4602.0,Tonnes,7.907216494845361
Tamil Nadu,VELLORE,Maize,2019-20,Kharif,1076.0,Hectare,9607.0,Tonnes,8.928438661710038
Tamil Nadu,VELLORE,Maize,2019-20,Rabi,791.0,Hectare,5313.0,Tonnes,6.716814159292035
Tamil Nadu,VIRUDHUNAGAR,Maize,2019-20,Kharif,1052.0,Hectare,6649.0,Tonnes,6.320342205323194
Tamil Nadu,VIRUDHUNAGAR,Maize,2019-20,Rabi,23177.0,Hectare,179133.0,Tonnes,7.728912283729559
Tamil Nadu,CHENNAI,Rice,2019-20,Autumn,20.0,Hectare,,Tonnes,0.0
Tamil Nadu,CHENNAI,Rice,2019-20,Summer,9.0,Hectare,,Tonnes,0.0
Tamil Nadu,CHENNAI,Rice,2019-20,Winter,90.0,Hectare,,Tonnes,0.0
Tamil Nadu,COIMBATORE,Rice,2019-20,Summer,117.0,Hectare,504.0,Tonnes,4.3076923076923075
Tamil Nadu,COIMBATORE,Rice,2019-20,Winter,733.0,Hectare,2667.0,Tonnes,3.6384720327421554
Tamil Nadu,MADURAI,Rice,2019-20,Autumn,658.0,Hectare,2699.0,Tonnes,4.101823708206687
Tamil Nadu,MADURAI,Rice,2019-20,Summer,7714.0,Hectare,28330.0,Tonnes,3.672543427534353
Tamil Nadu,NAGAPATTINAM,Rice,2019-20,Autumn,36665.0,Hectare,140038.0,Tonnes,3.8193917905359336
Tamil Nadu,NAGAPATTINAM,Rice,2019-20,Summer,388.0,Hectare,1669.0,Tonnes,4.301546391752577
Tamil Nadu,NAGAPATTINAM,Rice,2019-20,Winter,132169.0,Hectare,416902.0,Tonnes,3.154310012181374
Tamil Nadu,SALEM,Rice,2019-20,Autumn,295.0,Hectare,1211.0,Tonnes,4.105084745762712
Tamil Nadu,SALEM,Rice,2019-20,Winter,15141.0,Hectare,65898.0,Tonnes,4.352288488210818
Tamil Nadu,THENI,Rice,2019-20,Summer,1671.0,Hectare,7191.0,Tonnes,4.303411131059246
Tamil Nadu,THOOTHUKUDI,Rice,2019-20,Autumn,497.0,Hectare,2041.0,Tonnes,4.106639839034205
Tamil Nadu,THOOTHUKUDI,Rice,2019-20,Summer,10901.0,Hectare,40259.0,Tonnes,3.693147417668104
Tamil Nadu,TIRUPPUR,Rice,2019-20,Summer,664.0,Hectare,2857.0,Tonnes,4.302710843373494
Tamil Nadu,TIRUPPUR,Rice,2019-20,Winter,9185.0,Hectare,44903.0,Tonnes,4.888731627653783
Tamil Nadu,VELLORE,Rice,2019-20,Autumn,4971.0,Hectare,22536.0,Tonnes,4.533494266747133
Tamil Nadu,VELLORE,Rice,2019-20,Summer,26397.0,Hectare,122357.0,Tonnes,4.635261582755616
Tamil Nadu,VIRUDHUNAGAR,Rice,2019-20,Autumn,151.0,Hectare,618.0,Tonnes,4.0927152317880795
Tamil Nadu,VIRUDHUNAGAR,Rice,2019-20,Summer,4586.0,Hectare,17595.0,Tonnes,3.836676842564326
